 DECAY0 generated file: BiPo214.dat                             

  date and hour         :   10.10.2007    15:34:51
  initial random number :  0
    
  event type: Bi214           
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
 1 10000
    
       1  1062.01       3
  3  0.859097      0.491997     -0.347079      0.00000    
  1  -1.67236      -1.55382      0.884061      0.00000    
 47  -161.891       57.1417      -167.004     0.458719E-03
       2  2446.27       4
  3 -0.767181     -0.585109       1.51239      0.00000    
  1  0.106103     -0.973678     -0.543225      0.00000    
  1 -0.380542     -0.470635     -0.676154E-01  0.00000    
 47  -128.137       157.230      -127.374     0.511006E-03
       3  4525.32       3
  3  0.914593      0.776938     -0.143547      0.00000    
  1 -0.996303     -0.206789       1.44094      0.00000    
 47   55.4789       131.887      -192.074     0.535940E-03
       4  79.5193       5
  3 -0.249569      0.560709      0.133355      0.00000    
  3 -0.420545       1.38568     -0.857315E-01  0.00000    
  1 -0.377734E-01  0.590365E-01  0.611299E-01  0.00000    
  1 -0.257679E-01 -0.293340      0.533075      0.00000    
 47   10.9304       238.165      -22.8541     0.661201E-04
       5  3218.99       4
  3 -0.936279      0.618569      0.212815      0.00000    
  1  0.360409       1.06164     -0.619669      0.00000    
  1  0.334476      0.914692E-01 -0.500639      0.00000    
 47   188.842       58.5524      -135.184     0.226914E-03
       6  1674.99       3
  3  -1.06735     -0.961490      0.402752      0.00000    
  1 -0.239070       1.35559      0.641159E-01  0.00000    
 47  -232.919       45.1505       32.7804     0.343719E-03
       7  5644.76       3
  3  0.222871     -0.630034E-01  0.658222      0.00000    
  1  -1.26456       2.20097      -1.36053      0.00000    
 47   210.819      -95.0581      -62.3204     0.210648E-04
       8  4327.84       2
  3 -0.362400      0.685848      -3.46501      0.00000    
 47   186.613      -125.614      -82.2261     0.149203E-03
       9  1254.87       2
  3   1.70658      -1.34502       2.80654      0.00000    
 47   140.346      -192.614      -23.8180     0.150927E-03
      10  1492.44       4
  3 -0.602783       1.20878     -0.226261      0.00000    
  1 -0.379323      -1.21880      0.107697      0.00000    
  1  0.301334      0.625062E-02  0.529188      0.00000    
 47   131.962       163.920      -114.372     0.691440E-04
      11  527.581       3
  3 -0.170293     -0.316824      0.651840      0.00000    
  1  0.491257       1.01530       1.35630      0.00000    
 47  -20.4434       47.9441      -233.769     0.477855E-04
      12  120.916       4
  3  0.120244     -0.599673      0.207676      0.00000    
  1  0.591490      0.741033      0.796024      0.00000    
  1  0.211314     -0.194107E-01 -0.570833      0.00000    
 47   157.704       73.7829      -164.468     0.401528E-04
      13  1095.76       4
  3  0.380733     -0.131071      0.913235      0.00000    
  1  -1.07648      0.308302      0.233527E-01  0.00000    
  1 -0.137418     -0.613774E-01 -0.590110      0.00000    
 47   11.7656      -131.983      -199.516     0.426899E-04
      14  202.409       4
  3 -0.548475      0.763034      0.400067      0.00000    
  1 -0.782512     -0.228186     -0.818310      0.00000    
  1 -0.499656      0.237038     -0.255026      0.00000    
 47  -29.7191      -140.745      -191.500     0.578726E-06
      15  397.455       3
  3  0.479402      -1.28983      0.522014      0.00000    
  1  0.922347      -1.37536      0.607755      0.00000    
