 DECAY0 generated file: BiPo212.dat                             

  date and hour         :   10.10.2007    15:32: 4
  initial random number :  0
    
  event type: Bi212           
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
 1 10000
    
       1  3234.06       4
  3  0.792589      0.453908     -0.320210      0.00000    
  1 -0.536958     -0.498898      0.283853      0.00000    
  1  0.745773E-02 -0.722709      0.785207E-01  0.00000    
 47   11.0269       210.869      -144.847     0.707961E-07
       2  2728.29       2
  3  0.775709       1.22698       1.05693      0.00000    
 47  -12.0388      -255.663       7.69633     0.114273E-06
       3  2326.46       3
  3  0.288403E-01 -0.287585      0.477355      0.00000    
  1 -0.500606      0.525083     -0.470171E-01  0.00000    
 47   193.772       164.607      -30.4129     0.310341E-06
       4  8341.33       2
  3  0.127953     -0.370102      0.314969      0.00000    
 47   122.322      -35.6326       222.116     0.449823E-07
       5  2480.70       3
 47  -84.4298       189.690       45.1143      0.00000    
  3  0.147828     -0.167757E-02  0.657189E-01 0.550297E-11
  1 -0.609248E-02  0.952202E-02  0.985966E-02  0.00000    
       6  17072.6       3
  3  0.426734E-01  0.929821     -0.892250E-01  0.00000    
  1  0.443846E-01   1.50833     -0.110162      0.00000    
 47  -209.905       138.677       47.7112     0.118038E-06
       7  1554.52       2
  3   1.16239      0.317880      -1.73985      0.00000    
 47  -28.0580      -105.652       231.556     0.412948E-06
       8  1288.49       3
  3  0.162832      -1.58593     -0.382683      0.00000    
  1 -0.140182      0.690967     -0.177322      0.00000    
 47  -214.682       31.6061       135.943     0.552543E-06
       9  3434.36       2
  3  0.181569      0.168601E-02 -0.246803      0.00000    
 47   81.7864      -23.1202       241.546     0.962380E-07
      10  5133.94       3
 47  -10.2629      -118.087      -176.340      0.00000    
  3  0.142407     -0.642112E-01 -0.420971E-01 0.217479E-10
  1  0.236779E-02  0.104902E-01 -0.104570E-01  0.00000    
      11  320.223       3
 47   211.405      -16.0730      -13.9726      0.00000    
  3  0.126056     -0.848517E-01 -0.555433E-01 0.630590E-11
  1  0.737054E-02 -0.477029E-03 -0.130556E-01  0.00000    
      12  322.557       2
  3 -0.384387      0.526938E-01 -0.380763      0.00000    
 47  -167.456       91.4273      -170.785     0.258104E-06
      13  7371.71       2
  3 -0.867282     -0.161752     -0.702073      0.00000    
 47  -179.860       48.6414       175.648     0.152640E-06
      14  29971.3       1
 47   142.108       44.3279       152.570      0.00000    
      15  1588.26       2
  3 -0.342708      -1.13792     -0.433964      0.00000    
 47   155.711       85.7734       184.295     0.119789E-05
      16  9045.67       1
 47   162.934      -112.303       79.2321      0.00000    
      17  63.2364       2
  3  0.332388     -0.706923     -0.532134      0.00000    
 47  -30.6682      -195.141      -162.934     0.466331E-06
      18  10210.1       1
 47   73.9633      -6.79404      -199.801      0.00000    
      19  888.592       3
  3  -1.23720      -1.19145     -0.942509E-02  0.00000    
