 DECAY0 generated file: Pb212.dat                               

  date and hour         :   10.10.2007    15:46:58
  initial random number :  0
    
  event type: Pb212           
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
 1 10000
    
       1  34069.7       3
  3 -0.276956E-01  0.749820E-01  0.121034      0.00000    
  3 -0.211608      0.532679E-01 -0.354323     0.691628E-12
  1 -0.270304E-01  0.579788E-01  0.647211E-01  0.00000    
       2  15776.7       3
  3  0.122368     -0.584683     -0.114918      0.00000    
  3  0.104945      0.393317     -0.863038E-01 0.367164E-11
  1  0.393118E-01  0.621814E-01  0.535636E-01  0.00000    
       3  14639.2       2
  3 -0.263416     -0.957968E-01  0.336528      0.00000    
  1 -0.127864      0.156896     -0.127104     0.379005E-11
       4  118984.       2
  3  0.349541      0.296931     -0.548611E-01  0.00000    
  1  0.289939E-01 -0.236723     -0.155690E-01 0.344899E-11
       5  124946.       3
  3  0.124237     -0.361904E-01  0.225593      0.00000    
  3  0.142998      0.388913     -0.381798E-01 0.165904E-11
  1 -0.556121E-01  0.437920E-01 -0.571887E-01  0.00000    
       6  99.8960       3
  3  0.841542E-01  0.156188      0.424970      0.00000    
  3  0.330111      0.136338     -0.213539     0.970429E-12
  1  0.415295E-02  0.904895E-01 -0.868331E-02  0.00000    
       7  103267.       2
  3  0.196868E-01 -0.294930      0.559061E-01  0.00000    
  1 -0.958976E-02 -0.235792      0.378294E-01 0.233707E-11
       8  16499.9       2
  3 -0.823033E-01  0.735522E-01 -0.506965E-01  0.00000    
  1  0.465941E-01 -0.227067      0.582285E-01 0.383002E-11
       9  12736.1       3
  3 -0.340382      0.385968      0.249521      0.00000    
  3 -0.721937E-01  0.409357      0.193615E-01 0.209202E-11
  1 -0.901433E-01 -0.111544E-01  0.554620E-02  0.00000    
      10  46437.6       4
  3  0.133939     -0.938268E-01 -0.122672      0.00000    
  1 -0.179309      0.177521      0.162279      0.00000    
  3 -0.765298E-02 -0.880572E-01 -0.131496     0.887328E-12
  1  0.800994E-01 -0.361168E-01 -0.236783E-01  0.00000    
      11  138839.       3
  3 -0.139815      0.553481      0.210017      0.00000    
  3 -0.383581     -0.803928E-01 -0.139866     0.142884E-12
  1 -0.429817E-01 -0.801473E-01  0.315969E-02  0.00000    
      12  571.377       1
  3  0.440938     -0.347520      0.725138      0.00000    
      13  35186.4       2
  3 -0.398261      0.217441     -0.406177      0.00000    
  1 -0.610498E-01 -0.151309     -0.174641     0.162762E-11
      14  29854.7       2
  3 -0.415786      0.112445      0.406050      0.00000    
  1  0.190439      0.831603E-01 -0.118061     0.437712E-11
      15  107817.       3
  3 -0.357225      0.335548      0.267531      0.00000    
  3 -0.951827E-01 -0.177084      0.364337     0.364145E-11
  1  0.443570E-01  0.537116E-01  0.585536E-01  0.00000    
      16  119250.       3
  3  0.316966     -0.239093E-01 -0.546522      0.00000    
  3 -0.187379E-02  0.344554      0.233322     0.286390E-12
  1  0.169408E-01 -0.844862E-01  0.292589E-01  0.00000    
      17  17756.5       3
  3  0.472501E-01 -0.264892E-01 -0.219381      0.00000    
  3  0.231913     -0.345087      0.170710E-01 0.384380E-11
  1  0.502776E-01 -0.756614E-01 -0.534044E-02  0.00000    
      18  26238.6       2
  3  0.149125     -0.513378E-01  0.357695      0.00000    
  1  0.211212      0.109819      0.212201E-01 0.103040E-11
      19  59706.2       3
  3  0.501047      0.262980     -0.352095      0.00000    
  3  0.255466     -0.213682     -0.249474     0.124997E-11
  1 -0.665211E-01  0.369707E-01 -0.498910E-01  0.00000    
      20  58142.0       3
