 DECAY0 generated file: Xe136_new.dat                           

  date and hour         :    1. 6.2011    13:35: 5
  initial random number :  0
    
  event type: Xe136           
              0nubb(mn) 0+ -> 0+     {2n}      
              level, Elevel (MeV) =  0+       0.0000     MeV
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
 1 20000
    
       1  0.00000       2
  3  -1.06680     -0.991185      0.563944      0.00000    
  3  0.938544       1.20043     -0.887485      0.00000    
       2  0.00000       2
  3  -2.42997      0.230134     -0.721768      0.00000    
  3 -0.433035     -0.157482      0.553225      0.00000    
       3  0.00000       2
  3  0.745915      0.364203      0.994638      0.00000    
  3  -1.39289       1.46099     -0.130821      0.00000    
       4  0.00000       2
  3  -1.06720      0.840373      -1.09746      0.00000    
  3   1.44262     -0.163710E-01  0.641335      0.00000    
       5  0.00000       2
  3 -0.873478      0.474078      0.753531      0.00000    
  3 -0.104466      -2.04313      0.308981      0.00000    
       6  0.00000       2
  3 -0.296017      -1.11465       2.44296      0.00000    
  3  0.101522     -0.494748      0.126872      0.00000    
       7  0.00000       2
  3  0.239214      -2.32986     -0.562193      0.00000    
  3 -0.523151      0.593214      0.383501      0.00000    
       8  0.00000       2
  3  0.104447       1.07268     -0.422683E-01  0.00000    
  3  -2.16634      0.419937      0.304885      0.00000    
       9  0.00000       2
  3  0.654981     -0.458827     -0.599883      0.00000    
  3  0.734685     -0.207688       2.16980      0.00000    
      10  0.00000       2
  3  0.678031      0.378720      0.539702      0.00000    
  3  0.643715     -0.902981      -2.07087      0.00000    
      11  0.00000       2
  3  0.478300E-01   1.61681     -0.660274      0.00000    
  3  0.978973      -1.10542      0.556661      0.00000    
      12  0.00000       2
  3 -0.514659      -1.65365      0.146122      0.00000    
  3  0.100421      0.151878       1.57669      0.00000    
      13  0.00000       2
  3   1.26174       1.56730      -1.09355      0.00000    
  3 -0.638008E-01 -0.733152     -0.692952      0.00000    
      14  0.00000       2
  3 -0.235878     -0.438843      0.902885      0.00000    
  3   1.38120      0.760832       1.63475      0.00000    
      15  0.00000       2
  3   1.34549     -0.101493      -2.31994      0.00000    
  3  0.263148     -0.392322      0.271485      0.00000    
      16  0.00000       2
  3  0.884663     -0.176465     -0.856038      0.00000    
  3  -1.04632      0.135602       1.78375      0.00000    
      17  0.00000       2
  3  -1.69996     -0.293080E-01  0.360596      0.00000    
  3  0.705172     -0.799472E-01  -1.41967      0.00000    
      18  0.00000       2
  3  0.446706      -1.38196      0.234029      0.00000    
  3  -1.35417      0.752614      -1.01563      0.00000    
      19  0.00000       2
  3 -0.341701      0.490162     -0.254017      0.00000    
  3  -1.80232     -0.989540      -1.59640      0.00000    
      20  0.00000       2
  3 -0.744038       1.50830      0.425973      0.00000    
  3 -0.189218      -1.08280      -1.14925      0.00000    
      21  0.00000       2
  3   1.20655     -0.730889      -1.50683      0.00000    
  3 -0.531193      -1.13357     -0.349338E-01  0.00000    
      22  0.00000       2
  3  -1.68066     -0.292036     -0.972556      0.00000    
  3 -0.605885      0.909672      0.804202      0.00000    
      23  0.00000       2
  3  -1.96042      -1.34908      0.760297      0.00000    
  3 -0.204046      0.326917      0.673381      0.00000    
      24  0.00000       2
  3 -0.331606      0.182064      0.992020      0.00000    
  3   1.84138      -1.25765     -0.244601      0.00000    
      25  0.00000       2
  3  0.317729      0.410096       1.74551      0.00000    
  3 -0.114655     -0.526781      -1.40321      0.00000    
      26  0.00000       2
  3  -1.26857      0.225746      -1.30825      0.00000    
  3  0.844738     -0.980305      0.733896      0.00000    
      27  0.00000       2
  3  -1.94564      0.531522     -0.815188      0.00000    
  3 -0.100921     -0.984288      0.555221      0.00000    
      28  0.00000       2
  3   1.61451      0.673283     -0.120706      0.00000    
  3 -0.815105     -0.159241       1.33427      0.00000    
      29  0.00000       2
  3  0.299308     -0.248389     -0.865332      0.00000    
  3 -0.537705     -0.284622      -2.26616      0.00000    
      30  0.00000       2
  3 -0.315560      -1.06922     -0.102520      0.00000    
  3   1.44847       1.12063      -1.20007      0.00000    
      31  0.00000       2
  3 -0.908726E-01  0.935964      -1.32879      0.00000    
  3   1.11520      -1.20422     -0.433499      0.00000    
      32  0.00000       2
  3 -0.370771      -1.74777      0.845062      0.00000    
  3 -0.425417      -1.17032     -0.504837      0.00000    
      33  0.00000       2
  3  0.489663     -0.532911       1.70198      0.00000    
  3 -0.223216E-01 -0.764419      -1.26032      0.00000    
      34  0.00000       2
  3  0.879377E-01  -1.02533      -1.42237      0.00000    
  3   1.40458      0.311257     -0.627228      0.00000    
      35  0.00000       2
  3 -0.965549      -1.04019      -1.57606      0.00000    
  3 -0.153157       1.17609     -0.124469      0.00000    
      36  0.00000       2
  3 -0.150300     -0.988614     -0.739744      0.00000    
  3  -1.11245      -1.44868      0.978662      0.00000    
      37  0.00000       2
  3  0.226514     -0.779744     -0.478746      0.00000    
  3 -0.379986     -0.586146       2.24579      0.00000    
      38  0.00000       2
  3  0.439453      0.268604       1.09301      0.00000    
  3  0.858365E-01   2.09880      0.151402      0.00000    
      39  0.00000       2
  3  -1.83046      0.626892E-01   1.06846      0.00000    
  3 -0.500306E-01 -0.963605     -0.701680      0.00000    
      40  0.00000       2
  3  0.621969      0.297177      0.438656E-01  0.00000    
  3  -2.52147     -0.441386      0.222824      0.00000    
      41  0.00000       2
  3 -0.711405     -0.169355       1.02739      0.00000    
  3   1.42329      0.847409      -1.21751      0.00000    
      42  0.00000       2
  3  -1.92522      0.927291      0.802419      0.00000    
  3  0.241801     -0.988687     -0.479801E-01  0.00000    
      43  0.00000       2
  3  -1.00879      -1.05541      -1.75054      0.00000    
  3  0.452051      0.824384      0.401597      0.00000    
      44  0.00000       2
  3  0.860187      0.136309       1.42024      0.00000    
  3 -0.849349      0.197010      -1.41199      0.00000    
      45  0.00000       2
  3   1.51736      0.393414      0.368706      0.00000    
  3 -0.656480      0.384645       1.53703      0.00000    
      46  0.00000       2
  3  -1.71896      0.891525       1.75034      0.00000    
  3  0.488140     -0.401626      0.102022      0.00000    
      47  0.00000       2
  3  0.279070     -0.933275       1.47507      0.00000    
  3 -0.810605     -0.542379       1.21397      0.00000    
      48  0.00000       2
  3  0.482604E-01  0.571862      0.815386      0.00000    
  3   2.29877      0.115715      0.637290E-01  0.00000    
      49  0.00000       2
  3  -1.95669       1.60280     -0.876743E-01  0.00000    
  3  0.578979      0.240028     -0.388285      0.00000    
      50  0.00000       2
  3  0.549804     -0.388609       1.53045      0.00000    
  3  -1.22642      -1.03528     -0.397651      0.00000    
      51  0.00000       2
  3   1.10528     -0.240138       1.29085      0.00000    
  3 -0.508635     -0.122080       1.52167      0.00000    
      52  0.00000       2
  3  0.185759      0.633244      -1.48945      0.00000    
  3 -0.381061      -1.61883     -0.334287      0.00000    
      53  0.00000       2
  3 -0.488633E-01  -1.32038      -1.78322      0.00000    
  3 -0.916643      0.582494     -0.553203E-01  0.00000    
      54  0.00000       2
  3 -0.193869      0.858875       1.70998      0.00000    
  3 -0.855561E-01  -1.39585      0.858506E-02  0.00000    
      55  0.00000       2
  3   1.83867      -1.03359     -0.705436E-01  0.00000    
  3   1.03728     -0.286232      0.539215      0.00000    
      56  0.00000       2
  3 -0.323095     -0.266641E-01  -2.07204      0.00000    
  3 -0.423938      -1.10270      0.294329      0.00000    
      57  0.00000       2
  3   1.53698       1.04657      0.946782      0.00000    
  3 -0.656276     -0.830180E-01  -1.03541      0.00000    
      58  0.00000       2
  3 -0.927223       1.44750     -0.752855      0.00000    
  3 -0.456725     -0.415685       1.30795      0.00000    
      59  0.00000       2
  3   1.11123      0.678535     -0.219130      0.00000    
  3  -1.86152     -0.323186      0.652769      0.00000    
      60  0.00000       2
  3  0.578720     -0.489565     -0.638363      0.00000    
  3  -1.95551       1.22539     -0.422512E-01  0.00000    
      61  0.00000       2
  3   1.12984      0.665655      -1.36737      0.00000    
  3  -1.35128     -0.668276E-01  0.457109      0.00000    
      62  0.00000       2
  3   1.25078      -1.87449       1.19378      0.00000    
  3 -0.366017     -0.283312     -0.543869      0.00000    
      63  0.00000       2
  3  -1.56136      -1.42715      0.889074      0.00000    
  3  0.102373      0.759329     -0.651688      0.00000    
      64  0.00000       2
  3  0.827522      0.984521     -0.897830      0.00000    
  3  -1.66130      0.524921      0.223613      0.00000    
      65  0.00000       2
  3  0.925725E-01   1.34674       1.24468      0.00000    
  3  -1.23726     -0.720349     -0.404568      0.00000    
      66  0.00000       2
  3  0.603078      0.523519     -0.880207      0.00000    
  3  -1.74555     -0.784840      0.922769      0.00000    
      67  0.00000       2
  3  0.828953     -0.161161       1.58667      0.00000    
  3 -0.125041       1.01573      -1.13350      0.00000    
      68  0.00000       2
  3 -0.223164E-01  0.205602E-02  0.195579      0.00000    
  3   2.15064       1.26544      -1.45098      0.00000    
      69  0.00000       2
  3 -0.442846E-01  0.138791E-01  0.362131      0.00000    
  3   1.99943      -1.80295      0.786514      0.00000    
      70  0.00000       2
  3  -1.29744     -0.550796      0.311249      0.00000    
  3   1.11956     -0.632137      -1.37099      0.00000    
      71  0.00000       2
  3   1.34360      0.217180      0.976861      0.00000    
  3 -0.772915       1.26261     -0.729035      0.00000    
      72  0.00000       2
  3  0.110976     -0.532757      0.222533E-01  0.00000    
  3  0.208843      0.676447       2.58890      0.00000    
      73  0.00000       2
  3 -0.590222      0.521148      0.925492      0.00000    
  3  0.695195     -0.488546      -1.91990      0.00000    
      74  0.00000       2
  3  0.152243      0.841767E-01   2.29244      0.00000    
  3  0.230370E-01 -0.421587     -0.907564      0.00000    
      75  0.00000       2
  3 -0.429302       1.50403      0.431330      0.00000    
  3  -1.00899      -1.36989     -0.727259E-01  0.00000    
      76  0.00000       2
  3 -0.787602E-01   1.17393     -0.457953E-01  0.00000    
  3  -1.57659      0.520950       1.34231      0.00000    
      77  0.00000       2
  3  0.424164      0.937767     -0.996322      0.00000    
  3 -0.403456      0.720411       1.70038      0.00000    
      78  0.00000       2
  3   1.92809     -0.987537       1.09155      0.00000    
  3 -0.385904     -0.745013     -0.186936      0.00000    
      79  0.00000       2
  3  0.103496     -0.174289      -2.10958      0.00000    
  3  -1.08159      0.420672     -0.281749      0.00000    
      80  0.00000       2
  3  0.760692     -0.452601     -0.772522      0.00000    
  3  -1.52859      0.566642      -1.38262      0.00000    
      81  0.00000       2
  3  0.480868      0.175323     -0.805804      0.00000    
  3   2.16147     -0.539235     -0.719718      0.00000    
      82  0.00000       2
  3  -1.15073      -1.74084     -0.639792      0.00000    
  3  0.750310      0.318901E-01  0.840135      0.00000    
      83  0.00000       2
  3  0.615969     -0.118182      0.630609      0.00000    
  3   1.09773      0.846334       1.95857      0.00000    
      84  0.00000       2
  3  0.698677      -1.41234      -1.03580      0.00000    
  3  -1.35662     -0.467693      0.796225E-01  0.00000    
      85  0.00000       2
  3  0.165213      -1.28561      0.684274      0.00000    
  3   1.59567      0.699080     -0.645323      0.00000    
      86  0.00000       2
  3  0.118263       1.74165     -0.192073      0.00000    
  3  0.946957     -0.935371     -0.830438      0.00000    
      87  0.00000       2
  3  0.270894      0.566961      -1.64314      0.00000    
  3  0.662456       1.39922      0.234816      0.00000    
      88  0.00000       2
  3 -0.141136       1.38452      0.201450      0.00000    
  3  -1.80539     -0.637121      0.716350E-01  0.00000    
      89  0.00000       2
  3 -0.362344      0.340254     -0.428861      0.00000    
  3 -0.264057     -0.192732       2.57662      0.00000    
      90  0.00000       2
  3   2.65050      0.687548     -0.554311      0.00000    
  3 -0.255215      0.272365      0.879553E-01  0.00000    
      91  0.00000       2
  3   1.43527     -0.941136     -0.670284E-01  0.00000    
  3 -0.435732       1.48308     -0.442000      0.00000    
      92  0.00000       2
  3 -0.240405     -0.728021E-01  0.243719      0.00000    
  3 -0.251743       1.90673       2.05362      0.00000    
      93  0.00000       2
  3   1.28463       1.26696      0.964460      0.00000    
  3   1.08122      0.233055      0.627004      0.00000    
      94  0.00000       2
  3 -0.886874      0.583394     -0.364702      0.00000    
  3 -0.558483      -1.57589       1.40951      0.00000    
      95  0.00000       2
  3  0.819165      -1.06486     -0.394546E-01  0.00000    
  3 -0.839497     -0.810571       1.59470      0.00000    
      96  0.00000       2
  3  0.662688      0.670603       1.05167      0.00000    
  3 -0.655286     -0.357097      -1.75798      0.00000    
      97  0.00000       2
  3  -1.18103     -0.519631     -0.976109      0.00000    
  3   1.34331      0.602038      0.865209      0.00000    
      98  0.00000       2
  3  0.136360      0.220925      -2.14567      0.00000    
  3 -0.120689      0.811459      0.805383      0.00000    
      99  0.00000       2
  3 -0.894884E-01 -0.113193      0.855879E-01  0.00000    
  3   2.29550     -0.514226       1.68985      0.00000    
     100  0.00000       2
  3 -0.809801      0.399356       1.20967      0.00000    
  3   1.10233     -0.792164       1.20449      0.00000    
     101  0.00000       2
  3  -1.29580     -0.570257      0.461025      0.00000    
  3 -0.888853      -1.60503      0.340998E-01  0.00000    
     102  0.00000       2
  3  0.596199      0.312857     -0.796488      0.00000    
  3  -1.90507      0.761468     -0.949225      0.00000    
     103  0.00000       2
  3  0.303779     -0.752601      0.679254      0.00000    
  3   1.26714       1.85144      0.112615      0.00000    
     104  0.00000       2
  3 -0.284019E-01  -1.17528       1.03895      0.00000    
  3  0.504239       1.48401     -0.792108      0.00000    
     105  0.00000       2
  3  0.597428       1.64563      0.938820      0.00000    
  3 -0.964111     -0.892748     -0.225649      0.00000    
     106  0.00000       2
  3  0.638158E-01  0.368508       1.05429      0.00000    
  3  0.129809      -2.00305     -0.876645      0.00000    
     107  0.00000       2
  3 -0.544397     -0.734014      -1.07522      0.00000    
  3 -0.849209       1.34519      -1.05901      0.00000    
     108  0.00000       2
  3  0.227851     -0.294053     -0.459464      0.00000    
  3  -2.21913       1.44506      0.555946E-01  0.00000    
     109  0.00000       2
  3  -1.16213       1.05515      0.377120      0.00000    
  3  0.405892      -1.56344     -0.564388      0.00000    
     110  0.00000       2
  3  0.457200E-01  0.972138     -0.907257      0.00000    
  3   1.06406     -0.457222       1.61723      0.00000    
     111  0.00000       2
  3  -1.39035      -1.61377       1.14653      0.00000    
  3  0.599885     -0.357078      0.514451      0.00000    
     112  0.00000       2
  3 -0.690489      0.327383      0.108864      0.00000    
  3  0.326657       2.13985       1.25401      0.00000    
     113  0.00000       2
  3  -1.35908       2.32157      0.636943E-01  0.00000    
  3  0.247173E-01 -0.311220      0.434804      0.00000    
     114  0.00000       2
  3  0.121535      0.568717     -0.779574      0.00000    
  3  -1.79137      -1.07275      -1.02229      0.00000    
     115  0.00000       2
  3  0.967034       1.29335     -0.662089      0.00000    
  3  0.809839E-01  -1.28620     -0.913696      0.00000    
     116  0.00000       2
  3 -0.327867       1.95338      0.675718      0.00000    
  3 -0.687825     -0.106304       1.00467      0.00000    
     117  0.00000       2
  3  0.946940      0.983297     -0.697275      0.00000    
  3 -0.155041      0.626653E-02   1.78500      0.00000    
     118  0.00000       2
  3  0.165198     -0.556422       1.71156      0.00000    
  3  0.962879     -0.275973      -1.13943      0.00000    
     119  0.00000       2
  3  -1.07497       1.06756       1.37315      0.00000    
  3   1.21149      0.282795      0.268285      0.00000    
     120  0.00000       2
  3 -0.191575E-01 -0.318483     -0.802711      0.00000    
  3   1.66622     -0.522142       1.67852      0.00000    
     121  0.00000       2
  3 -0.244007      0.952865E-01   1.03226      0.00000    
  3 -0.329391     -0.324571      -2.19198      0.00000    
     122  0.00000       2
  3  0.816498     -0.885491     -0.903582      0.00000    
  3 -0.593848       1.57495     -0.688313      0.00000    
     123  0.00000       2
  3  -1.14836      0.376711     -0.913922      0.00000    
  3   1.36449      0.331036       1.14089      0.00000    
     124  0.00000       2
  3 -0.128495     -0.246121      0.747408      0.00000    
  3   1.44258       2.01434      0.106155      0.00000    
     125  0.00000       2
  3 -0.699460E-01 -0.241887     -0.124473      0.00000    
  3   1.04075      -2.11371      -1.60441      0.00000    
     126  0.00000       2
  3  0.681625      0.748957      0.163994      0.00000    
  3  -2.17829     -0.222737      0.621853      0.00000    
     127  0.00000       2
  3  -1.11695      -2.14509      -1.52951      0.00000    
  3  0.874101E-01  0.219264      0.102816      0.00000    
     128  0.00000       2
  3  0.625679     -0.376849     -0.779901      0.00000    
  3  0.413076       2.19616     -0.101131      0.00000    
     129  0.00000       2
  3 -0.304822     -0.663676       1.14849      0.00000    
  3   1.64427      0.683401      0.818308      0.00000    
     130  0.00000       2
  3 -0.876286      -1.13219      0.232486      0.00000    
  3   1.63901     -0.853043      0.304958      0.00000    
     131  0.00000       2
  3 -0.109825     -0.263170       2.24734      0.00000    
  3 -0.998657     -0.105832     -0.261464      0.00000    
     132  0.00000       2
  3  0.655359     -0.295463      0.928606      0.00000    
  3 -0.949560      -1.91240     -0.111390      0.00000    
     133  0.00000       2
  3  0.701486E-01 -0.529816       2.42270      0.00000    
  3 -0.764979      0.197024     -0.986833E-01  0.00000    
     134  0.00000       2
  3   1.97267     -0.684267     -0.197781      0.00000    
  3 -0.736799     -0.531983E-03 -0.969152      0.00000    
     135  0.00000       2
  3  0.259202      0.779918      0.276907      0.00000    
  3   1.80495     -0.690692      -1.45489      0.00000    
     136  0.00000       2
  3  0.425820       1.67315     -0.420497      0.00000    
  3  -1.32791     -0.783013      0.139323      0.00000    
     137  0.00000       2
  3 -0.232181       1.07987      0.246679E-01  0.00000    
  3   1.14271      -1.87779     -0.149722      0.00000    
     138  0.00000       2
  3  -2.22475     -0.170359      0.801455      0.00000    
  3  0.546303      0.708702     -0.220206      0.00000    
     139  0.00000       2
  3  0.867834      0.835886      -1.46778      0.00000    
  3  -1.38513      0.323592      0.554268E-01  0.00000    
     140  0.00000       2
  3 -0.305147      0.981766      0.849578      0.00000    
  3   1.28008     -0.764380       1.31210      0.00000    
     141  0.00000       2
  3  0.837163      0.361161     -0.393299      0.00000    
  3   1.99057      -1.11679     -0.331086      0.00000    
     142  0.00000       2
  3   1.34009      -1.03237     -0.345477      0.00000    
  3 -0.575170      0.912712       1.17986      0.00000    
     143  0.00000       2
  3 -0.146513       2.18064      -1.43934      0.00000    
  3 -0.409513     -0.305197     -0.372044      0.00000    
     144  0.00000       2
  3   1.84807      0.691114      -1.25006      0.00000    
  3 -0.386209      0.421000E-02 -0.879492      0.00000    
     145  0.00000       2
  3 -0.405397      0.566912     -0.231551E-03  0.00000    
  3 -0.190766      -2.54720      0.226626      0.00000    
     146  0.00000       2
  3 -0.543923E-01 -0.396645      0.502766E-01  0.00000    
  3 -0.242502      0.212972      -2.76256      0.00000    
     147  0.00000       2
  3  0.786596      0.706035       1.13236      0.00000    
  3 -0.628980      -1.36343     -0.948125      0.00000    
     148  0.00000       2
  3  -2.09879      0.346185     -0.992687      0.00000    
  3 -0.507929      0.431336      0.673793      0.00000    
     149  0.00000       2
  3 -0.347723      -1.48339      0.770777E-01  0.00000    
  3   1.38658      0.382860E-01  -1.14554      0.00000    
     150  0.00000       2
  3 -0.809564      0.857793      0.985558      0.00000    
  3   1.32133     -0.522964      -1.08453      0.00000    
     151  0.00000       2
  3 -0.882987E-01 -0.394983     -0.283923      0.00000    
  3 -0.729519       2.46574      0.888004      0.00000    
     152  0.00000       2
  3 -0.184350      -1.12195      0.554672E-01  0.00000    
  3   1.61829       1.18916      0.827191      0.00000    
     153  0.00000       2
  3  0.666365       1.23467      -1.37323      0.00000    
  3  -1.31467     -0.206168      0.267555      0.00000    
     154  0.00000       2
  3  0.758295      0.824530       1.86813      0.00000    
  3 -0.976529      0.109228E-01 -0.571617      0.00000    
     155  0.00000       2
  3 -0.566643      -1.17894      -1.09046      0.00000    
  3   1.34631     -0.886632E-01 -0.901082      0.00000    
     156  0.00000       2
  3  -1.06221      0.226963     -0.810977      0.00000    
  3 -0.518881       1.88977      0.143828      0.00000    
     157  0.00000       2
  3  0.996290E-01   1.11993      0.361577      0.00000    
  3 -0.219751      -1.07696      -1.82652      0.00000    
     158  0.00000       2
  3  0.895931      0.884351      0.521481      0.00000    
  3 -0.751267      -1.49751      -1.01361      0.00000    
     159  0.00000       2
  3  -2.29636     -0.725614      -1.48978      0.00000    
  3  0.144385      0.983328E-01  0.264747      0.00000    
     160  0.00000       2
  3  -1.68627       1.65857      0.151508      0.00000    
  3  0.903198     -0.180729     -0.481521E-01  0.00000    
     161  0.00000       2
  3 -0.811438      0.510001     -0.829313E-01  0.00000    
  3  -2.02289      0.226098       1.14299      0.00000    
     162  0.00000       2
  3  0.294779      -1.24896     -0.486502      0.00000    
  3  0.337952       1.53328       1.15418      0.00000    
     163  0.00000       2
  3  0.395329      0.266093     -0.707349      0.00000    
  3  -2.10043       1.16019      0.393655      0.00000    
     164  0.00000       2
  3 -0.369608      0.562123      0.898031E-01  0.00000    
  3   1.33679      0.355154      -2.17706      0.00000    
     165  0.00000       2
  3  0.874830     -0.521784     -0.762939      0.00000    
  3   1.45198     -0.109012       1.43549      0.00000    
     166  0.00000       2
  3   1.64315      -1.38069      -1.08696      0.00000    
  3  0.788899      0.366850      0.146424      0.00000    
     167  0.00000       2
  3  -1.77385     -0.688489       1.25579      0.00000    
  3 -0.371207      0.179350     -0.935136      0.00000    
     168  0.00000       2
  3  -1.23689       2.39668       1.00339      0.00000    
  3 -0.146839      0.238583E-02 -0.163819      0.00000    
     169  0.00000       2
  3 -0.873935     -0.153881      0.887742      0.00000    
  3  0.745643E-02  -1.86556     -0.876864      0.00000    
     170  0.00000       2
  3 -0.544578      0.602255     -0.548495      0.00000    
