 DECAY0 generated file: Xe136_2nu.dat                           

  date and hour         :   15. 4.2008    14:12:28
  initial random number :  0
    
  event type: Xe136           
              2nubb     0+ -> 0+     {2n}      
              level, Elevel (MeV) =  0+       0.0000     MeV
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
 1 10000
    
       1  0.00000       2
  3   1.50790      -1.42651       1.48947      0.00000    
  3 -0.265138     -0.202214      0.522682      0.00000    
       2  0.00000       2
  3 -0.121055     -0.867329     -0.980854E-01  0.00000    
  3  0.776024E-02  0.227991E-01  0.770487E-02  0.00000    
       3  0.00000       2
  3  0.319002     -0.156930     -0.423517E-01  0.00000    
  3  0.102337E-01 -0.543014E-04  0.151869E-01  0.00000    
       4  0.00000       2
  3  -1.23656      0.691519E-01  0.429672E-01  0.00000    
  3 -0.137393E-01 -0.649465E-02  0.769923E-02  0.00000    
       5  0.00000       2
  3  0.428520     -0.232426     -0.857967E-01  0.00000    
  3 -0.894141E-02 -0.128841E-01 -0.829055E-04  0.00000    
       6  0.00000       2
  3 -0.621595E-02  0.836497E-01 -0.216710      0.00000    
  3  0.714631E-02 -0.322334E-02 -0.589464E-02  0.00000    
       7  0.00000       2
  3  0.770656     -0.730863      0.860752      0.00000    
  3 -0.130107E-01  0.635909E-03 -0.108610E-01  0.00000    
       8  0.00000       2
  3  -1.85540      0.988057      -1.75851      0.00000    
  3  0.101763E-01 -0.884213E-02 -0.204348E-02  0.00000    
       9  0.00000       2
  3  0.325061      -2.36102       1.23375      0.00000    
  3  0.953550E-02 -0.656790E-03 -0.185652E-02  0.00000    
      10  0.00000       2
  3   1.05907      -1.30774       1.23155      0.00000    
  3 -0.975510E-02 -0.614052E-02 -0.164887E-01  0.00000    
      11  0.00000       2
  3 -0.620060E-01   2.41098      0.494440      0.00000    
  3  0.471946E-02 -0.157940E-02 -0.111509E-01  0.00000    
      12  0.00000       2
  3   1.19087      0.348554      0.893168      0.00000    
  3  0.137331E-01 -0.173044E-02  0.666068E-02  0.00000    
      13  0.00000       2
  3 -0.189154     -0.916780     -0.618342      0.00000    
  3 -0.144619E-02 -0.113943E-01  0.112544E-01  0.00000    
      14  0.00000       2
  3  -2.82341     -0.782476     -0.459904E-01  0.00000    
  3  0.324316E-02  0.627984E-02  0.297311E-02  0.00000    
      15  0.00000       2
  3  0.227274      0.430617      0.247996      0.00000    
  3 -0.627097E-02 -0.596807E-02 -0.365800E-02  0.00000    
      16  0.00000       2
  3 -0.118746      0.708034      -1.77153      0.00000    
  3 -0.153209E-01 -0.993230E-02 -0.501325E-02  0.00000    
      17  0.00000       2
  3  0.195438       1.60957       2.20854      0.00000    
  3  0.633436E-02 -0.765664E-02 -0.484029E-02  0.00000    
      18  0.00000       2
  3  0.221576       1.02592      0.109874      0.00000    
  3  0.928278E-03 -0.678692E-03 -0.145140E-01  0.00000    
      19  0.00000       2
  3 -0.227202     -0.638238      0.525618      0.00000    
  3  0.762840E-02 -0.180120E-02  0.165381E-01  0.00000    
      20  0.00000       2
  3  0.508835       1.57642       1.82078      0.00000    
  3  0.257967E-02  0.418326E-02  0.169140E-01  0.00000    
      21  0.00000       2
  3  0.827501      -1.75132      0.690478E-01  0.00000    
  3 -0.328470E-02  0.688008E-02  0.131230E-01  0.00000    
      22  0.00000       2
  3  0.665976     -0.523174     -0.139232      0.00000    
  3 -0.121648E-02  0.126741E-01  0.112548E-01  0.00000    
      23  0.00000       2
  3   2.62076     -0.765368      0.808754E-01  0.00000    
  3  0.937086E-02  0.949397E-02  0.105469E-01  0.00000    
      24  0.00000       2
  3 -0.150387      0.109432      0.113586      0.00000    
  3  0.140286E-01 -0.757598E-02  0.471845E-02  0.00000    
      25  0.00000       2
  3  -1.90506     -0.373921      -1.97485      0.00000    
  3 -0.540350E-02  0.379465E-02 -0.273957E-02  0.00000    
      26  0.00000       2
  3 -0.302303      0.682434      -1.41962      0.00000    
  3 -0.494204E-03  0.129114E-01 -0.634303E-02  0.00000    
      27  0.00000       2
  3   1.44656     -0.685044     -0.410845      0.00000    
  3 -0.763522E-03  0.152516E-01  0.674374E-02  0.00000    
      28  0.00000       2
  3 -0.569186      0.627812     -0.319615      0.00000    
  3 -0.578591E-02 -0.196334E-02  0.371093E-02  0.00000    
      29  0.00000       2
  3  0.437632       1.35561     -0.294142      0.00000    
  3  0.205757E-03 -0.147467E-01 -0.813130E-02  0.00000    
      30  0.00000       2
  3 -0.974601E-01 -0.570813      -1.01636      0.00000    
  3  0.255373E-02 -0.372800E-02 -0.553922E-02  0.00000    
      31  0.00000       2
  3  0.114728      -2.48711      -1.11389      0.00000    
  3 -0.175486E-01  0.264881E-03  0.570964E-04  0.00000    
      32  0.00000       2
  3 -0.261976      0.104569      0.372657      0.00000    
  3  0.457037E-02 -0.983870E-02 -0.573090E-02  0.00000    
      33  0.00000       2
  3  0.574195E-01  0.139307       1.19402      0.00000    
  3  0.989867E-02 -0.220176E-02 -0.116958E-01  0.00000    
      34  0.00000       2
  3  0.957647       1.04554     -0.317026      0.00000    
  3 -0.567798E-02 -0.398025E-02 -0.173796E-02  0.00000    
      35  0.00000       2
  3  -1.31069       1.79509     -0.534369      0.00000    
  3 -0.901614E-02  0.619814E-02  0.654781E-02  0.00000    
      36  0.00000       2
  3  0.262860E-01  -1.23465      -1.39945      0.00000    
  3 -0.481605E-03 -0.290338E-02  0.651466E-02  0.00000    
      37  0.00000       2
  3  0.790761E-01  -1.22672     -0.130641      0.00000    
  3  0.208173E-03  0.709695E-02 -0.105655E-01  0.00000    
      38  0.00000       2
  3  0.540820      0.337285      0.338024      0.00000    
  3  0.216313E-02 -0.406094E-02  0.547102E-02  0.00000    
      39  0.00000       2
  3  0.136674      -1.67346      -1.58062      0.00000    
  3  0.129885E-01 -0.950647E-02  0.681993E-02  0.00000    
      40  0.00000       2
  3 -0.782197     -0.336800       1.29123      0.00000    
  3  0.126326E-01 -0.657201E-02  0.948444E-02  0.00000    
      41  0.00000       2
  3  0.271167     -0.367908      0.593247      0.00000    
  3  0.104295E-01  0.114706E-01 -0.741381E-02  0.00000    
      42  0.00000       2
  3  -1.81705      0.683078E-01 -0.270283      0.00000    
  3 -0.135721E-01 -0.107875E-01 -0.107318E-01  0.00000    
      43  0.00000       2
  3 -0.426645     -0.270947      0.433277      0.00000    
  3  0.222704E-03  0.116144E-01  0.747807E-02  0.00000    
      44  0.00000       2
  3  0.254928E-01  -1.02607       1.95224      0.00000    
  3 -0.909563E-02 -0.335880E-02  0.697816E-02  0.00000    
      45  0.00000       2
  3  -2.00338      0.775849       1.53555      0.00000    
  3  0.849386E-02  0.127031E-01 -0.760136E-02  0.00000    
      46  0.00000       2
  3 -0.998139      -1.38588      -1.51370      0.00000    
  3 -0.165814E-01  0.224281E-02  0.283764E-02  0.00000    
      47  0.00000       2
  3   1.21675      -1.97059      0.315481      0.00000    
  3 -0.685660E-02 -0.146434E-01  0.650895E-02  0.00000    
      48  0.00000       2
  3  -1.80190     -0.451400     -0.761266      0.00000    
  3  0.156940E-01 -0.330797E-02  0.555435E-03  0.00000    
      49  0.00000       2
  3  -2.28127       1.83750     -0.635035E-01  0.00000    
  3  0.350447E-02 -0.139534E-01  0.847302E-02  0.00000    
      50  0.00000       2
  3  0.275068E-01   1.06804       1.38654      0.00000    
  3  0.531040     -0.210653      0.131207      0.00000    
      51  0.00000       2
  3 -0.217339      0.319232      0.390792      0.00000    
  3 -0.126464E-02  0.320882E-03 -0.974107E-02  0.00000    
      52  0.00000       2
  3 -0.697956E-01  0.257097     -0.489353      0.00000    
  3  0.776749E-02 -0.804507E-02  0.565115E-02  0.00000    
      53  0.00000       2
  3  -1.12692     -0.733414      -2.23228      0.00000    
  3 -0.665386E-03  0.368372E-02 -0.178953E-01  0.00000    
      54  0.00000       2
  3  0.149450      -1.17243     -0.703164      0.00000    
  3 -0.473567E-02 -0.150390E-01  0.225439E-02  0.00000    
      55  0.00000       2
  3 -0.245211      -1.47298      -1.54068      0.00000    
  3  0.602289E-02  0.353272E-02  0.578718E-02  0.00000    
      56  0.00000       2
  3  -1.93505      0.232533      0.370174      0.00000    
  3  0.115027E-01  0.414191E-02  0.132609E-01  0.00000    
      57  0.00000       2
  3   1.19829     -0.662201       1.99109      0.00000    
  3  0.663484E-02  0.135999E-01  0.117579E-01  0.00000    
      58  0.00000       2
  3  0.595342       1.68490       1.90300      0.00000    
  3 -0.949543E-02  0.444067E-03  0.138504E-02  0.00000    
      59  0.00000       2
  3 -0.310329     -0.151319       1.08111      0.00000    
  3 -0.189539E-02 -0.198329E-02 -0.101431E-01  0.00000    
      60  0.00000       2
  3   1.51458      0.171407       1.15554      0.00000    
  3 -0.210120E-02  0.489344E-02  0.476881E-02  0.00000    
      61  0.00000       2
  3  0.280928       1.72407      -1.12166      0.00000    
  3 -0.172980E-01 -0.100297E-01  0.285227E-02  0.00000    
      62  0.00000       2
  3  0.181842      0.291122     -0.442040      0.00000    
  3 -0.185438E-02 -0.425354E-02 -0.110789E-01  0.00000    
      63  0.00000       2
  3  -1.56962      -1.31494      -1.49513      0.00000    
  3  0.746475E-02  0.559259E-02 -0.347500E-02  0.00000    
      64  0.00000       2
  3   1.12174     -0.281616     -0.385472      0.00000    
  3 -0.113308E-01  0.883585E-03  0.594867E-02  0.00000    
      65  0.00000       2
  3   1.40836      0.305465       1.00672      0.00000    
  3 -0.112698E-01  0.148618E-01 -0.898976E-02  0.00000    
      66  0.00000       2
  3  0.153474       1.04098     -0.562413      0.00000    
  3 -0.741442E-02  0.531404E-02 -0.128837E-01  0.00000    
      67  0.00000       2
  3 -0.218821       1.53186      0.691672      0.00000    
  3  0.296506E-02  0.196705E-01  0.276125E-02  0.00000    
      68  0.00000       2
  3  -1.17965       1.48952      0.587573      0.00000    
  3 -0.580965E-03 -0.102270E-01 -0.210912E-02  0.00000    
      69  0.00000       2
  3 -0.169828      0.435793     -0.666368      0.00000    
  3 -0.267095E-02  0.331773E-02 -0.205536E-01  0.00000    
      70  0.00000       2
  3  0.684319      -1.51693     -0.497306E-01  0.00000    
  3  0.257199E-02 -0.592982E-02  0.719100E-02  0.00000    
      71  0.00000       2
  3   1.46800      0.312838E-01  0.199333      0.00000    
  3  0.210220E-02  0.635178E-02  0.251754E-02  0.00000    
      72  0.00000       2
  3   2.04677      0.673372E-01  -1.67217      0.00000    
  3 -0.221644E-02 -0.143339E-01  0.362752E-02  0.00000    
      73  0.00000       2
  3 -0.639460       1.74874      -1.48227      0.00000    
  3 -0.382544E-02  0.150364E-01  0.103328E-02  0.00000    
      74  0.00000       2
  3  0.381144      0.228825      -1.94263      0.00000    
  3 -0.137638E-02  0.155837E-01 -0.100033E-02  0.00000    
      75  0.00000       2
  3  -2.25342      0.193055      -1.17211      0.00000    
  3 -0.248883E-01 -0.988706E-01 -0.390170E-01  0.00000    
      76  0.00000       2
  3 -0.879187     -0.702726       1.77524      0.00000    
  3 -0.163504E-02 -0.791954E-02  0.192463E-01  0.00000    
      77  0.00000       2
  3 -0.184545E-01  -2.12748      -1.98530      0.00000    
  3 -0.104287E-01  0.139032E-01  0.467549E-02  0.00000    
      78  0.00000       2
  3   1.14710      0.383822      -1.85611      0.00000    
  3 -0.387198E-02 -0.134702E-01 -0.127984E-02  0.00000    
      79  0.00000       2
  3 -0.201023E-01 -0.307700     -0.184451      0.00000    
  3 -0.487816E-03  0.685016E-02  0.198487E-02  0.00000    
      80  0.00000       2
  3  0.898809E-01 -0.148787     -0.893832      0.00000    
  3 -0.108632E-01 -0.950525E-02 -0.893861E-02  0.00000    
      81  0.00000       2
  3 -0.577532      -1.12480      0.455024      0.00000    
  3  0.119299E-01 -0.125024E-01 -0.442005E-02  0.00000    
      82  0.00000       2
  3  -2.45668     -0.401334     -0.202543      0.00000    
  3  0.417164E-02 -0.767077E-02  0.156220E-01  0.00000    
      83  0.00000       2
  3  -1.67606      0.182985      0.835905      0.00000    
  3 -0.912715E-02  0.121432E-02  0.153868E-01  0.00000    
      84  0.00000       2
  3 -0.115129E-01  0.311774      0.187585      0.00000    
  3  0.764261E-03  0.170670E-01  0.117659E-02  0.00000    
      85  0.00000       2
  3   2.03115      0.115586     -0.736570      0.00000    
  3 -0.547916E-02 -0.453984E-02  0.543740E-02  0.00000    
      86  0.00000       2
  3 -0.612754E-01   1.29590      0.340482      0.00000    
  3  0.109571E-03 -0.713721E-02  0.388127E-03  0.00000    
      87  0.00000       2
  3   1.70244     -0.120058      0.820083E-01  0.00000    
  3  0.280870E-02  0.571457E-02 -0.144605E-01  0.00000    
      88  0.00000       2
  3  0.638276     -0.771015     -0.397799      0.00000    
  3 -0.128216E-01 -0.673358E-02  0.678530E-02  0.00000    
      89  0.00000       2
  3 -0.704183E-01 -0.148214     -0.187422      0.00000    
  3 -0.229794E-02 -0.974916E-02  0.156333E-01  0.00000    
      90  0.00000       2
  3 -0.575856E-01 -0.126210      0.579959      0.00000    
  3 -0.114791E-01  0.767379E-02 -0.818056E-02  0.00000    
      91  0.00000       2
  3  0.594657       1.19844      -1.35179      0.00000    
  3 -0.795321E-02  0.125025E-01 -0.145481E-02  0.00000    
      92  0.00000       2
  3 -0.865846       1.10477     -0.567131      0.00000    
  3  0.407277E-02  0.191053E-03 -0.751570E-02  0.00000    
      93  0.00000       2
  3  -1.35869      0.148844     -0.563721      0.00000    
  3 -0.311830E-02 -0.364478E-02  0.530039E-02  0.00000    
      94  0.00000       2
  3 -0.284498     -0.476136E-02 -0.679324E-01  0.00000    
  3 -0.690126E-02  0.152102E-02 -0.107772E-02  0.00000    
      95  0.00000       2
  3  0.587164     -0.557461      0.282295      0.00000    
  3  0.195393E-02 -0.163183E-01  0.674105E-02  0.00000    
      96  0.00000       2
  3  0.905933     -0.230851     -0.286041      0.00000    
  3 -0.587838E-02  0.151216E-01 -0.802420E-02  0.00000    
      97  0.00000       2
  3  0.676122     -0.726347     -0.864442      0.00000    
  3 -0.173155E-02 -0.129333E-01 -0.132350E-01  0.00000    
      98  0.00000       2
  3 -0.139456     -0.258873      -1.03796      0.00000    
  3  0.355170E-02 -0.205064E-01  0.364522E-03  0.00000    
      99  0.00000       2
  3  -1.00522     -0.705321     -0.673716      0.00000    
  3  0.610695E-02 -0.235275E-02  0.287614E-02  0.00000    
     100  0.00000       2
  3  -1.47718      0.910424E-01 -0.723623      0.00000    
  3 -0.154301E-01 -0.360426E-02 -0.344302E-02  0.00000    
     101  0.00000       2
  3 -0.361701     -0.786046      0.134818      0.00000    
  3 -0.926284E-03 -0.186183E-01 -0.812308E-02  0.00000    
     102  0.00000       2
  3  0.266576     -0.667188     -0.960321      0.00000    
  3 -0.849840E-02  0.968171E-02 -0.129600E-01  0.00000    
     103  0.00000       2
  3  0.792327     -0.129611      -2.54702      0.00000    
  3  0.553737E-02 -0.170353E-02 -0.104180E-01  0.00000    
     104  0.00000       2
  3  0.113344     -0.548514      0.645414      0.00000    
  3 -0.133779E-01 -0.175189E-02 -0.619233E-02  0.00000    
     105  0.00000       2
  3  -2.11815     -0.922500     -0.326185      0.00000    
  3  0.987608E-02 -0.121524E-01  0.539908E-03  0.00000    
     106  0.00000       2
  3  -1.48217     -0.668381      0.410168E-01  0.00000    
  3 -0.223726E-02 -0.182727E-01 -0.116801E-01  0.00000    
     107  0.00000       2
  3  0.262133     -0.125459      0.753690      0.00000    
  3 -0.247279E-02 -0.153238E-01  0.442394E-02  0.00000    
     108  0.00000       2
  3  0.834783       1.25489      0.557865      0.00000    
  3 -0.576069E-02  0.492530E-02 -0.161634E-02  0.00000    
     109  0.00000       2
  3   1.23922     -0.222904     -0.292187      0.00000    
  3 -0.938453E-02  0.390086E-02  0.858617E-02  0.00000    
     110  0.00000       2
  3   1.56604      -1.49478      0.376530      0.00000    
  3  0.255507E-02 -0.379269E-02  0.165747E-01  0.00000    
     111  0.00000       2
  3   1.59001       2.45975      0.825265E-01  0.00000    
  3 -0.215711E-02 -0.358077E-02  0.169900E-01  0.00000    
     112  0.00000       2
  3 -0.474358       1.21441      0.458920      0.00000    
  3  0.136328E-01 -0.926284E-02 -0.924668E-02  0.00000    
     113  0.00000       2
  3  -1.12225       1.98584      -1.50434      0.00000    
  3  0.111750E-01  0.927556E-02  0.376103E-02  0.00000    
     114  0.00000       2
  3  -2.09198      0.737866     -0.709273      0.00000    
  3  0.167836E-01  0.902272E-02  0.309886E-04  0.00000    
     115  0.00000       2
  3 -0.485983      -1.84989      0.686391      0.00000    
  3 -0.110626E-01  0.168396E-02 -0.396492E-02  0.00000    
     116  0.00000       2
  3  0.346141E-01  0.886248      0.642546      0.00000    
  3  0.511577E-02  0.912644E-02  0.368946E-02  0.00000    
     117  0.00000       2
  3   2.39578     -0.311853E-01   1.51905      0.00000    
  3  0.232025E-02 -0.705236E-02 -0.154387E-01  0.00000    
     118  0.00000       2
  3 -0.516287      -1.71568       1.53793      0.00000    
  3  0.261495E-02 -0.469180E-02 -0.120797E-01  0.00000    
     119  0.00000       2
  3 -0.498853      0.793071      0.290977      0.00000    
  3  0.135462E-01 -0.149026E-01  0.279393E-03  0.00000    
     120  0.00000       2
  3  0.864367       2.16576     -0.534747      0.00000    
  3  0.674609E-02 -0.221425E-02  0.830502E-03  0.00000    
     121  0.00000       2
  3 -0.245046      0.208965      0.710617E-03  0.00000    
  3 -0.160295E-02 -0.633535E-03 -0.177395E-01  0.00000    
     122  0.00000       2
  3  -1.12806       1.65992      0.955805      0.00000    
  3  0.549543E-02  0.281307E-03  0.456328E-02  0.00000    
     123  0.00000       2
  3   1.44843     -0.791590      0.634568      0.00000    
  3 -0.157089E-01  0.942147E-02 -0.117582E-01  0.00000    
     124  0.00000       2
  3  0.647551      -1.48917     -0.863300      0.00000    
  3 -0.329333E-02  0.819146E-02  0.844241E-03  0.00000    
     125  0.00000       2
  3 -0.758131     -0.299443     -0.206413      0.00000    
  3  0.657733E-02 -0.531511E-02  0.452549E-02  0.00000    
     126  0.00000       2
  3 -0.275410      0.230428      0.359268      0.00000    
  3 -0.534898E-02  0.439077E-03 -0.105358E-01  0.00000    
     127  0.00000       2
  3   1.20495     -0.714518     -0.358763      0.00000    
  3 -0.255836E-02  0.147473E-01  0.690142E-02  0.00000    
     128  0.00000       2
  3  0.285197E-01 -0.553273E-01 -0.356157E-01  0.00000    
  3  0.170520E-02  0.539917E-02 -0.581216E-02  0.00000    
     129  0.00000       2
  3  0.351437     -0.546092      -1.68123      0.00000    
  3 -0.433996E-02  0.512352E-02 -0.245289E-02  0.00000    
     130  0.00000       2
  3   2.08166      0.773285       1.52555      0.00000    
  3  0.141739E-01  0.951781E-04 -0.171232E-03  0.00000    
     131  0.00000       2
  3  -1.48735     -0.172026     -0.241356      0.00000    
  3 -0.659574E-02 -0.555232E-02 -0.130216E-01  0.00000    
     132  0.00000       2
  3 -0.143971      0.196501       1.55578      0.00000    
  3 -0.402072E-02  0.778118E-02  0.147779E-01  0.00000    
     133  0.00000       2
  3  -1.15741       2.50065     -0.874705      0.00000    
  3 -0.117658E-01  0.842463E-02  0.161634E-02  0.00000    
     134  0.00000       2
  3  0.815866     -0.881689E-01 -0.506494      0.00000    
  3 -0.877796E-03  0.724248E-02 -0.169955E-01  0.00000    
     135  0.00000       2
  3  0.588882      0.586433      0.219427      0.00000    
  3 -0.368974E-02  0.296060E-02  0.602623E-02  0.00000    
     136  0.00000       2
  3  0.589775       1.58810      0.430840      0.00000    
  3 -0.219288E-02  0.823954E-02 -0.602106E-02  0.00000    
     137  0.00000       2
  3  0.901345       1.52196      0.193164      0.00000    
  3 -0.234165E-02  0.251529E-02 -0.978892E-02  0.00000    
     138  0.00000       2
  3  -1.01174      0.443199E-01  -1.47511      0.00000    
  3  0.162942E-01 -0.131656E-01 -0.385441E-03  0.00000    
     139  0.00000       2
  3  0.998587      0.480269      0.585355      0.00000    
  3  0.460967E-02  0.508694E-02  0.199407E-02  0.00000    
     140  0.00000       2
  3 -0.909682E-01  -1.01850     -0.334594      0.00000    
  3 -0.149108E-02 -0.180441E-02  0.129656E-01  0.00000    
     141  0.00000       2
  3 -0.236550      0.777241      0.377232      0.00000    
  3 -0.135164E-01  0.103429E-02 -0.445842E-02  0.00000    
     142  0.00000       2
  3 -0.603324     -0.130092      0.517428      0.00000    
  3 -0.175407E-01 -0.726866E-02 -0.161294E-02  0.00000    
     143  0.00000       2
  3 -0.422693      0.632577      0.419391      0.00000    
  3  0.768979E-02 -0.315803E-02 -0.903338E-02  0.00000    
     144  0.00000       2
  3  0.823153      -1.92937       1.79347      0.00000    
  3  0.763854E-02  0.398486E-03 -0.199454E-02  0.00000    
     145  0.00000       2
  3  0.555475      0.989904      0.587884      0.00000    
  3 -0.698687E-02 -0.724370E-02  0.734408E-02  0.00000    
     146  0.00000       2
  3 -0.161891       2.40077       1.23918      0.00000    
  3 -0.284967E-02  0.165611E-01  0.192061E-02  0.00000    
     147  0.00000       2
  3  -1.88181      0.325426     -0.968346      0.00000    
  3  0.596197E-02 -0.393655E-02 -0.246661E-03  0.00000    
     148  0.00000       2
  3  -1.20694      -1.54157      -1.31581      0.00000    
  3 -0.800193E-03  0.786630E-02 -0.285210E-02  0.00000    
     149  0.00000       2
  3  0.552087     -0.272288      0.169858      0.00000    
  3  0.208010E-01 -0.118404E-01 -0.146976E-01  0.00000    
     150  0.00000       2
