 DECAY0 generated file: Pb214.dat                               

  date and hour         :   10.10.2007    15:46:31
  initial random number :  0
    
  event type: Pb214           
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
 1 10000
    
       1  1430.24       2
  3 -0.413261E-01  0.111885      0.180601      0.00000    
  1  0.255877     -0.128879     -0.703013E-01  0.00000    
       2  2647.44       3
  3  0.436359     -0.611521      0.453295      0.00000    
  3 -0.312435     -0.210778     -0.439113      0.00000    
  1  0.229499E-01  0.860122E-01 -0.188733E-01  0.00000    
       3  5903.99       2
  3 -0.188154E-01 -0.399575      0.120286E-01  0.00000    
  1 -0.211710     -0.769929E-01  0.270471      0.00000    
       4  4226.90       2
  3  0.639945      0.572243      0.228864      0.00000    
  1 -0.221347      0.180834E-01  0.273098      0.00000    
       5  1347.64       3
  3  0.456954      0.296353      0.705368      0.00000    
  3  0.134042      0.318651     -0.464066      0.00000    
  1  0.434711E-01 -0.126632E-01  0.789361E-01  0.00000    
       6  1097.07       3
  3 -0.435804      0.343176     -0.448160      0.00000    
  3 -0.200173      0.659564     -0.408069E-01  0.00000    
  1 -0.162466E-02  0.253921E-02  0.262924E-02  0.00000    
       7  7550.28       2
  3 -0.188411     -0.122751E-01  0.113317      0.00000    
  1 -0.489648E-01 -0.249096      0.150262      0.00000    
       8  1444.96       3
  3 -0.250817E-01 -0.616707      0.989417E-01  0.00000    
  3 -0.179938      0.912120E-01  0.457610      0.00000    
  1  0.750414E-01 -0.469416E-01  0.211253E-01  0.00000    
       9  798.822       2
  3  0.658665      0.311540     -0.530111      0.00000    
  1  0.349589E-01 -0.340487     -0.821593E-01  0.00000    
      10  2337.93       2
  3 -0.649807      0.956664E-01  0.411475      0.00000    
  1 -0.342315      0.663565E-01  0.481765E-01  0.00000    
      11  7601.98       2
  3  0.413355E-02 -0.127124E-01 -0.297802E-01  0.00000    
  1 -0.210389      0.208292      0.190407      0.00000    
      12  2550.95       2
  3  0.933375     -0.420859     -0.275916      0.00000    
  1  0.808379E-01 -0.113397     -0.260060      0.00000    
      13  2876.65       2
