 DECAY0 generated file: Tl208.dat                               

  date and hour         :   10.10.2007    15:45:24
  initial random number :  0
    
  event type: Tl208           
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
 1 10000
    
       1  162.930       3
  3 -0.668208E-01  0.180908      0.292017      0.00000    
  1 -0.296467      0.746295E-01 -0.496414     0.203339E-09
  1   1.39181       1.78017      -1.31609     0.372766E-10
       2  43.3727       4
  3  0.843491     -0.797960      0.833178      0.00000    
  1  0.220751      0.349173      0.300780      0.00000    
  1 -0.274099E-01 -0.582092      0.175229E-01 0.188113E-09
  1   1.43788       1.28069       1.76934     0.473161E-10
       3  70.4799       4
  3 -0.409556     -0.843762E-01  0.108538E-01  0.00000    
  1  0.122967      0.412550     -0.275323      0.00000    
  1  0.298939      0.193874      0.461451     0.930718E-10
  1  0.882081     -0.632656      -2.37906     0.125285E-09
       4  124.976       4
  3 -0.672315      0.529418     -0.691376      0.00000    
  1 -0.217045     -0.407677E-01  0.742851E-01  0.00000    
  1 -0.364305E-01 -0.414722      0.753658     0.160974E-11
  1  0.119340       2.60033     -0.249526     0.862711E-10
       5  87.1421       4
  3 -0.890806      0.588526      0.202479      0.00000    
  1  0.143770      0.423495     -0.247191      0.00000    
  1  0.320197      0.875641E-01 -0.479266     0.406042E-09
  1   2.06181      0.639286      -1.47597     0.448910E-10
       6  701.582       3
  3  -1.02636     -0.924567      0.387286      0.00000    
  1 -0.376290     -0.362159      0.259105     0.314209E-09
  1  -2.59038     -0.320535      0.159377     0.387949E-10
       7  866.002       4
  3  0.565900E-02 -0.174038E-01 -0.407703E-01  0.00000    
  1  0.617632E-01  0.477678      0.170676      0.00000    
  1  0.262687     -0.155427     -0.496716     0.296052E-10
  1   1.87477       1.04717       1.49228     0.758077E-11
       8  16.1327       4
  3 -0.718497     -0.150586     -0.261987      0.00000    
  1 -0.102505      0.112260E-01 -0.500487      0.00000    
